At1g01050	32541497
At1g49010	QHF7J19ygab1
At1g49410	32536696
At1g49430	32535705
At1g50030	QHN12G19ygab1
At1g50575	32533435
At1g51510	QHE16H06ygab1
At1g51650	32534444
At1g51760	32540116
At1g52230	32541355
At1g52310	QHI20N03ygab1
At1g52720	32533690
At1g53090	QHB42G01ygab1
At1g53645	QHB9D01ygab1
At1g54500	32529980
At1g54650	QHJ2N11ygab1
At1g55000	QHH8L21ygab1
At1g55090	32532572
At1g55265	32532986
At1g55310	QHB42A06ygab1
At1g55360	32534064
At1g55480	QHK8N09ygab1
At1g55670	32531027
At1g55910	QHK6I15ygab1
At1g56020	QHG4b09ygab1
At1g56220	QHM21O24ygab1
At1g56350	QHB7B21ygab1
At1g57760	QHE18G16ygab1
At1g57770	QHK4C04ygab1
At1g60420	QHM6A16ygab1
At1g60990	QHB28H24ygab1
At1g61040	QHJ6B04ygab1
At1g61150	32537984
At1g61520	32530945
At1g61570	32535370
At1g61800	QHF16J10ygab1
At1g63170	QHM13O19ygab1
At1g63780	32537989
At1g64200	32536846
At1g64390	QHB32K22ygab1
At1g64780	QHL5A15ygab1
At1g64850	32534192
At1g64980	QHN18P20ygab1
At1g65040	QHG12P13ygab1
At1g65270	32536215
At1g65720	QHB37L01ygab1
At1g66070	QHB5E24ygab1
At1g67170	32538536
At1g67340	32531031
At1g67740	32530488
At1g68400	QHB20C13ygab1
At1g68550	QHM7N07ygab1
At1g68570	QHB30F17ygab1
At1g69640	15005864
At1g70000	QHF14L01ygab1
At1g70160	QHB8P21ygab1
At1g70580	QHF12B08ygab1
At1g71010	QHF2f05ygab1
At1g71691	32538038
At1g71695	QHF8O13ygab1
At1g72020	32537400
At1g72100	QHB4h08ygab1
At1g72160	QHF10B17ygab1
At1g72520	QHB39K20ygab1
At1g72560	QHB34M20ygab1
At1g72820	QHF14D07ygab1
At1g73090	QHB38B13ygab1
At1g73230	32538670
At1g73990	QHB33D05ygab1
At1g74190	QHN10D08ygab1
At1g74210	QHF9J17ygab1
At1g74470	QHG18P13ygab1
At1g74730	QHB5C09ygab1
At1g75110	32539935
At1g75220	QHA6L20ygab1
At1g75330	QHL9C02ygab1
At1g75380	QHG9E24ygab1
At1g75460	32541632
At1g75690	QHE7P10ygab1
At1g76080	32530814
At1g76160	QHB34M16ygab1
At1g76180	QHJ23B13ygab1
At1g76450	QHK5B05ygab1
At1g76490	QHB10I12ygab1
At1g77180	QHF12G21ygab1
At1g77310	QHF5L22ygab1
At1g77330	QHM1P18ygab1
At1g77350	19525312
At1g77550	32541543
At1g77710	32535092
At1g78240	QHA15D22ygab1
At1g78300	32529989
At1g78880	QHG5I15ygab1
At1g79000	QHH12M01ygab1
At1g79040	32541507
At1g79090	QHB42L18ygab1
At1g79230	QHG18I20ygab1
At1g79260	QHE14K16ygab1
At1g79740	QHG5J24ygab1
At1g79850	32530763
At1g80090	QHG11D23ygab1
At1g80350	QHB20D21ygab1
At1g80360	32535688
At1g80950	32542159
At2g01080	QHJ18O10ygab1
At2g01110	32531026
At2g01620	QHB17G02ygab1
At2g01660	QHA15E23ygab1
At2g01670	QHA7F08ygab1
At2g01970	QHK8O09ygab1
At2g02050	32530177
At2g03150	QHB42J11ygab1
At2g03420	32540437
At2g03510	QHB30M05ygab1
At2g03590	QHI6C08ygab1
At2g03800	QHF4a08ygab1
At2g04350	QHF5H17ygab1
At2g04520	32535284
At2g04790	QHB23D04ygab1
At2g04845	32534581
At2g05170	QHH7N07ygab1
At2g05620	32533340
At2g06050	QHF16B19ygab1
At2g06520	32533796
At2g06530	QHE17F16ygab1
At2g07696	32530671
At2g09990	32538424
At2g13360	QHB7D19ygab1
At2g13560	QHB5D13ygab1
At2g13840	QHB18E01ygab1
At2g15020	QHA7O18ygab1
At2g15240	QHB22K18ygab1
At2g15290	15005593
At2g15430	32539481
At2g15690	QHB32D03ygab1
At2g15910	32538052
At2g16370	32538592
At2g16480	QHH12C23ygab1
At2g16950	QHB11M02ygab1
At2g17120	QHB34P13ygab1
At2g17970	QHG12A21ygab1
At2g18050	32539940
At2g18600	QHB32I21ygab1
At2g18900	QHB23F20ygab1
At2g19860	QHJ21F03ygab1
At2g20020	15005756
At2g20190	QHG12E06ygab1
At2g20340	QHH4g02ygab1
At2g20360	QHK16D06ygab1
At2g20495	QHA17A01ygab1
At2g20780	QHA19O22ygab1
At2g20810	QHB17H08ygab1
At2g20860	32541287
At2g20990	QHK9I20ygab1
At2g21160	32536431
At2g21250	32536191
At2g21290	QHM22O08ygab1
At2g21330	QHB14M18ygab1
At2g21530	QHK9A14ygab1
At2g21870	32538487
At2g21970	QHK14G12ygab1
At2g22370	QHN18H13ygab1
At2g22570	QHB17C14ygab1
At2g23090	QHE30L16ygab1
At2g23200	QHG2f08ygab1
At2g23540	28370478
At2g24200	QHF2b07ygab1
At2g24230	QHB33P14ygab1
At2g24360	QHG6A09ygab1
At2g24765	32539709
At2g24940	32531904
At2g25180	QHB10L23ygab1
At2g25310	QHB27H08ygab1
At2g25810	QHF6N23ygab1
At2g26210	QHF6P03ygab1
At2g26280	QHA13F19ygab1
At2g26340	QHE10F24ygab1
At2g26670	QHL10B08ygab1
At2g26690	QHM21K12ygab1
At2g26770	QHL13C12ygab1
At2g26800	QHJ17F11ygab1
At2g26970	QHB24O22ygab1
At2g26990	QHF11I04ygab1
At2g27100	QHG9A19ygab1
At2g27170	QHH2g12ygab1
At2g27290	32531964
At2g27450	QHB42G21ygab1
At2g27470	32539434
At2g27490	QHK3M16ygab1
At2g27600	QHF9O04ygab1
At2g27680	QHM16A12ygab1
At2g27690	QHB35J23ygab1
At2g27730	32536077
At2g27810	QHE14D15ygab1
At2g27960	32532444
At2g28315	QHG7L10ygab1x
At2g28380	32537780
At2g28900	32532584
At2g28950	32533765
At2g29660	QHB30I17ygab1
At2g30200	32534806
At2g30410	32532065
At2g30570	32532764
At2g31040	QHL14B04ygab1
At2g31410	QHI9M15ygab1
At2g31490	32538953
At2g31570	32534567
At2g31610	32535972
At2g31670	QHK7C06ygab1
At2g31880	QHA11N22ygab1
At2g31980	QHM18J16ygab1
At2g32230	QHG18N01ygab1
At2g32270	QHM21K19ygab1
At2g32520	QHG14A11ygab1
At2g32910	32530431
At2g32940	QHB10H06ygab1
At2g32950	QHG18I15ygab1
At2g33220	QHL19F18ygab1
At2g33340	QHG12F09ygab1
At2g33450	32536481
At2g33560	QHM13K02ygab1
At2g33800	32541056
At2g34520	32537689
At2g35120	32535594
At2g35170	QHB8E06ygab1
At2g35330	QHB31P24ygab1
At2g35500	32541292
At2g35736	32538900
At2g35760	32533643
At2g35920	32538083
At2g36230	QHM3D23ygab1
At2g36300	QHF8P13ygab1
At2g36320	QHJ23F04ygab1
At2g36930	32539064
At2g37120	32532609
At2g37340	QHI10O04ygab1
At2g37970	32533281
At2g38000	QHI12M16ygab1
At2g38040	32531987
At2g38290	QHG4e11ygab1
At2g38310	QHB27H20ygab1
At2g38360	QHL6A20ygab1
At2g38450	32536821
At2g38560	QHF12O23ygab1
At2g38730	32533274
At2g39020	QHH5J17ygab1
At2g39450	QHF12P17ygab1
At2g39770	QHB5B23ygab1
At2g39780	QHB10H16ygab1
At2g39960	QHG10J10ygab1
At2g40140	QHB33B18ygab1
At2g40490	QHL21P23ygab1
At2g40540	QHG10L22ygab1
At2g40620	QHB42P01ygab1
At2g40690	QHB1g06ygab1
At2g40800	QHA17N02ygab1
At2g40980	QHC3d03ygab1
At2g41430	QHM1E15ygab1
At2g41490	QHB39M10ygab1
At2g41540	QHL15P03ygab1
At2g41680	QHB18J15ygab1
At2g41690	15005809
At2g42490	QHB18A24ygab1
At2g42570	QHG12F24ygab1
At2g43030	QHK8M19ygab1
At2g43070	QHF6C13ygab1
At2g43080	QHB41K17ygab1
At2g43945	QHB15C18ygab1
At2g44060	QHL18P06ygab1
At2g44140	QHB20C23ygab1
At2g44430	32531709
At2g44760	QHE22A03ygab1
At2g45030	32537732
At2g45490	32536477
At2g45550	QHB42K02ygab1
At2g45620	QHB7E06ygab1
At2g45640	32532957
At2g45690	QHE29I16ygab1
At2g45740	QHA6E16ygab1
At2g46420	QHK3N18ygab1
At2g46890	15005712
At2g47110	15005779
At2g47440	QHM20F08ygab1
At2g47590	QHG10O12ygab1
At2g47690	32535192
At2g47900	QHB42I10ygab1
At3g01400	QHM21M02ygab1
At3g01440	QHL7G11ygab1
At3g01480	QHL2B21ygab1
At3g01980	QHB9M10ygab1
At3g02090	QHF12B17ygab1
At3g02360	QHJ6N08ygab1
At3g02450	QHB9L19ygab1
At3g02540	32539213
At3g02560	32537562
At3g02790	32534198
At3g03100	QHJ9O09ygab1
At3g03310	QHG9K14ygab1
At3g03790	QHH6M19ygab1
At3g04340	QHC3b07ygab1
At3g04400	32537183
At3g04470	QHB22C15ygab1
At3g04610	QHB5L11ygab1
At3g04760	QHE11F21ygab1
At3g04920	32539918
At3g05070	32538201
At3g05230	32531975
At3g05290	QHB11M15ygab1
At3g05580	32536207
At3g06050	15005606
At3g06340	QHE30D18ygab1
At3g06430	32541358
At3g06580	QHK10B03ygab1
At3g06610	32536665
At3g06720	32537106
At3g07090	28371137
At3g07410	32531138
At3g07470	QHB28B10ygab1
At3g07510	32533645
At3g07680	QHI8H20ygab1
At3g08030	32532864
At3g08590	QHB20J22ygab1
At3g08630	QHB42P08ygab1
At3g08710	QHI4L09ygab1
At3g08850	QHB8A04ygab1
At3g09085	QHM11I18ygab1
At3g09200	32538821
At3g09630	QHI1K11ygab1
At3g09740	QHK7A04ygab1
At3g10210	QHA13I07ygab1
At3g10330	QHF9F04ygab1
At3g10340	32531848
At3g10850	32536018
At3g10920	32536535
At3g10950	32536206
At3g11090	32534193
At3g11650	32529426
At3g11730	32538615
At3g11820	QHB17K07ygab1
At3g11830	QHK7J11ygab1
At3g11940	32529909
At3g12180	15005755
At3g12600	QHL18L12ygab1
At3g12620	QHB7D08ygab1
At3g12630	QHN3M20ygab1
At3g12680	QHB42J04ygab1
At3g13120	QHF8L11ygab1
At3g13200	32537911
At3g13340	QHM18D04ygab1
At3g13530	QHB38C17ygab1
At3g13580	32538942
At3g13720	QHK6F17ygab1
At3g13740	32541125
At3g13772	QHG5D03ygab1
At3g14900	QHE5M06ygab1
At3g15190	32531303
At3g15610	QHJ12I13ygab1
At3g15640	32533357
At3g15840	32531845
At3g16090	QHF14E09ygab1
At3g16480	QHJ6C05ygab1
At3g17210	QHF16O22ygab1
At3g17310	QHK8G16ygab1
At3g17980	32541564
At3g18080	QHB30A09ygab1
At3g18210	32534137
At3g18215	QHJ12L11ygab1
At3g18410	32535200
At3g18760	32534010
At3g18890	32530368
At3g19120	QHI11L17ygab1
At3g19240	QHB28H06ygab1
At3g19450	QHG17G01ygab1
At3g19770	QHB10I11ygab1
At3g19900	QHK16J03ygab1
At3g19910	QHB42M01ygab1
At3g20250	QHB4f06ygab1
At3g20320	QHF14J10ygab1
At3g21360	QHG11K24ygab1
At3g21400	32530927
At3g21740	32531732
At3g21760	QHE29H15ygab1
At3g22110	32532232
At3g22480	32533603
At3g22590	QHI24B12ygab1
At3g22680	32532926
At3g22750	QHC3e05ygab1
At3g23400	32541936
At3g23780	QHL1O07ygab1
At3g24010	QHA15N12ygab1
At3g24020	QHA1d05ygab1
At3g24180	QHG12K18ygab1
At3g24440	QHA15M22ygab1
At3g24500	QHJ17D07ygab1
At3g24730	32531993
At3g25070	QHN6E13ygab1
At3g25400	32537930
At3g25500	QHI4C10ygab1
At3g25540	QHJ17H21ygab1
At3g25830	32535976
At3g26060	QHK11O24ygab1
At3g26070	32530382
At3g26340	32537931
At3g26560	QHB6O19ygab1
At3g26618	QHG12L09ygab1
At3g27030	QHB10H14ygab1
At3g27060	QHG9C24ygab1
At3g27340	32532122
At3g28007	QHJ18C10ygab1
At3g28720	QHG13G11ygab1
At3g29240	QHM15B19ygab1
At3g29270	QHK16L09ygab1
At3g44680	QHB42P10ygab1
At3g44750	32537923
At3g44880	32540022
At3g46280	QHG2b08ygab1
At3g46450	QHB4d10ygab1
At3g46550	QHG12P07ygab1
At3g46560	32534841
At3g46630	QHB28E22ygab1
At3g46780	QHH9D02ygab1
At3g47340	QHB6L02ygab1
At3g47370	32537953
At3g47520	QHJ5E08ygab1
At3g47810	QHF9N22ygab1
At3g47860	QHM18G16ygab1
At3g47940	QHL4C15ygab1
At3g48030	32537587
At3g48140	32533816
At3g48680	QHB41E18ygab1
At3g48780	QHG9P03ygab1
At3g48870	QHB10K17ygab1
At3g49010	32538454
At3g49550	QHK12J23ygab1
At3g49660	QHF10C14ygab1
At3g49810	QHF5M03ygab1
At3g49910	32530594
At3g49990	QHB18M16ygab1
At3g50690	QHA20F18ygab1
At3g50860	QHM8D10ygab1
At3g51800	32537232
At3g51890	32530164
At3g51950	QHG17E23ygab1
At3g52140	QHF9E07ygab1
At3g52155	QHJ7I05ygab1
At3g52300	32532436
At3g52420	QHN19J06ygab1
At3g52750	QHB23D09ygab1
At3g52780	QHB19G02ygab1
At3g52950	QHB21J09ygab1
At3g52990	32539474
At3g53140	QHF6N16ygab1
At3g53470	QHK6O10ygab1
At3g54190	QHB26O12ygab1
At3g54360	QHL16P24ygab1
At3g54420	QHM9I24ygab1
At3g54470	QHF11D21ygab1
At3g54540	QHI14B24ygab1
At3g54890	32531133
At3g54900	32535892
At3g55120	QHB20O08ygab1
At3g55140	32532973
At3g55250	QHI8P03ygab1
At3g55440	32536369
At3g55520	32535288
At3g55620	32536723
At3g55640	QHF12P05ygab1
At3g55800	QHE11M18ygab1
At3g56010	32532561
At3g56190	QHF16C18ygab1
At3g56910	32533201
At3g57000	32533219
At3g57040	QHM21D03ygab1
At3g57090	32537417
At3g57150	QHI11L16ygab1
At3g57290	32531996
At3g57330	15005609
At3g57520	QHB10D14ygab1
At3g57810	32533180
At3g57870	32536145
At3g58610	QHB28D24ygab1
At3g58650	QHA6N24ygab1
At3g58660	QHB39F13ygab1
At3g58750	32539663
At3g59140	QHB2e05ygab1
At3g59490	QHB21F22ygab1
At3g59530	QHI4L21ygab1
At3g59540	32538740
At3g60240	QHE11O18ygab1
At3g60600	QHJ24B10ygab1
At3g60750	QHG12M23ygab1
At3g61110	32535644
At3g61460	QHK9K14ygab1
At3g61580	QHG9G05ygab1
At3g61590	32540622
At3g61600	32529482
At3g61620	32536312
At3g62600	32536305
At3g62810	28370960
At3g62820	QHL8F05ygab1
At3g62920	32537552
At3g63120	QHK4E12ygab1
At3g63140	QHG11L06ygab1
At3g63220	QHB26J03ygab1
At3g63410	QHE12G15ygab1
At3g63490	QHK7M20ygab1
At3g63510	QHK16N03ygab1
At4g00585	QHK17L05ygab1
At4g01100	32542016
At4g01310	QHM4K23ygab1
At4g01710	32533895
At4g01810	32541356
At4g02060	QHL1A19ygab1
At4g02360	32532809
At4g02790	QHN8J02ygab1
At4g02920	32533706
At4g02980	QHK5K06ygab1
At4g03090	QHK8K04ygab1
At4g03100	QHL10F03ygab1
At4g03560	QHB39I14ygab1
At4g04210	QHF12C20ygab1
At4g04640	QHM20M11ygab1
At4g05510	QHC3e04ygab1
At4g06634	QHG11O22ygab1
At4g07990	QHE16O17ygab1
At4g08920	32530199
At4g08950	QHG6M23ygab1
At4g08980	QHB42C03ygab1
At4g09650	32531836
At4g09800	32535770
At4g09890	QHM21N16ygab1
At4g09980	QHF7P21ygab1
At4g10500	QHN18J20ygab1
At4g11160	QHF8M18ygab1
At4g11420	32541304
At4g11560	QHI8I05ygab1
At4g11650	QHG6A08ygab1
At4g12070	QHF14C02ygab1
At4g12780	QHM4M02ygab1
At4g12790	QHG6F24ygab1
At4g12800	32530546
At4g13010	QHM10M05ygab1
At4g13040	QHK5G05ygab1
At4g13430	QHG5E14ygab1
At4g13500	QHA21E24ygab1
At4g13750	QHB10N19ygab1
At4g14110	32535748
At4g14320	32530028
At4g14342	32537361
At4g14360	QHB8G22ygab1
At4g14540	32541160
At4g14660	32535977
At4g14710	28370231
At4g14880	QHG18P11ygab1
At4g14950	QHJ21O14ygab1
At4g15080	QHJ22G21ygab1
At4g15130	32530892
At4g15760	QHM16F18ygab1
At4g15770	QHE29E11ygab1
At4g15800	32533675
At4g15802	QHM15K02ygab1
At4g16210	QHK8E17ygab1
At4g16370	QHI11O18ygab1
At4g16450	28370526
At4g16520	32539279
At4g16695	32532513
At4g16720	QHB17A04ygab1
At4g16820	QHE17N05ygab1
At4g17030	QHM3A12ygab1
At4g17100	32541534
At4g17600	QHB13N07ygab1
At4g17770	QHB19K04ygab1
At4g17790	QHI18I05ygab1
At4g17940	QHM19A02ygab1
At4g18100	32535680
At4g18593	32542128
At4g18880	QHB28I06ygab1
At4g20100	QHE7P06ygab1
At4g20150	32538669
At4g20260	32531707
At4g20360	QHB39B11ygab1
At4g20960	32531347
At4g21105	14529659
At4g21110	QHA19C23ygab1
At4g21150	QHB10J02ygab1
At4g21320	QHB23L02ygab1
At4g22300	32536869
At4g22740	QHE23B01ygab1
At4g22840	QHB37H02ygab1
At4g22880	QHI22G18ygab1
At4g22930	QHG8E16ygab1
At4g23000	QHB2d09ygab1
At4g23890	QHL8E17ygab1
At4g23980	QHG17I20ygab1
At4g24220	QHN2P06ygab1
At4g24780	QHB29A18ygab1
At4g25080	QHK5B18ygab1
At4g25370	QHK7N19ygab1
At4g25630	QHB41O21ygab1
At4g25670	QHM2E02ygab1
At4g25700	QHF9P16ygab1
At4g26100	32541536
At4g26300	32535646
At4g26490	QHB30G20ygab1
At4g26530	QHM7H06ygab1
At4g26700	QHB26H20ygab1
At4g26850	QHC3f09ygab1
At4g27390	32533332
At4g27500	QHA7P21ygab1
At4g27650	32530021
At4g27700	32541523
At4g27750	QHN8N16ygab1
At4g29010	QHG14J05ygab1
At4g29430	32538916
At4g29510	QHF8A22ygab1
At4g29590	QHB39C22ygab1
At4g30010	QHI8K05ygab1
At4g30060	QHK18C17ygab1
At4g30100	QHB22O20ygab1
At4g30490	QHI16D19ygab1
At4g31200	QHI15E03ygab1
At4g31360	32535125
At4g31560	QHM12M10ygab1
At4g31780	28371375
At4g31930	32532859
At4g32140	QHB22N10ygab1
At4g32175	QHE17L21ygab1
At4g32250	QHF16J03ygab1
At4g32480	QHB35B08ygab1
At4g32770	QHB20A01ygab1
At4g33090	QHB6P22ygab1
At4g33250	32531912
At4g33360	QHE6F02ygab1
At4g33430	QHB5L06ygab1
At4g33670	QHI9N07ygab1
At4g33865	32536345
At4g33985	QHM6E03ygab1
At4g34430	QHL16I01ygab1
At4g34460	32536536
At4g34670	32537672
At4g34700	32536688
At4g34710	QHK6N20ygab1
At4g34880	QHB33G21ygab1
At4g35040	32536465
At4g35250	QHB6J05ygab1
At4g35870	QHI6F01ygab1
At4g35880	QHF5P12ygab1
At4g36220	QHC4e08ygab1
At4g36390	QHE22H09ygab1
At4g36440	QHK9D01ygab1
At4g36480	QHG17A08ygab1
At4g36700	QHG17D14ygab1
At4g36710	QHE26H24ygab1
At4g37020	32535885
At4g37030	28370693
At4g37040	QHK2G02ygab1
At4g37650	QHJ17K08ygab1
At4g37830	32537894
At4g37880	QHJ20O09ygab1
At4g37900	QHH1b11ygab1
At4g38510	32538474
At4g38540	32531983
At4g38840	QHK10G24ygab1
At4g39230	15005902
At4g39660	QHN15F20ygab1
At5g01210	QHB19N10ygab1
At5g01270	QHB37I12ygab1
At5g01410	QHK15H05ygab1
At5g01530	32530556
At5g01650	15005811
At5g01750	QHM3C11ygab1
At5g01960	QHB42O05ygab1
At5g02120	QHM18K08ygab1
At5g02280	QHE28A18ygab1
At5g02960	32532706
At5g03300	QHB19I11ygab1
At5g03455	QHK9E01ygab1
At5g03860	QHH2c08ygab1
At5g04000	32530063
At5g04170	QHM6C04ygab1
At5g04310	QHF7O12ygab1
At5g04420	QHB39H22ygab1
At5g05270	QHB34B16ygab1
At5g05740	QHL2P06ygab1
At5g05920	32534880
At5g07020	QHK2E12ygab1
At5g07830	QHF11D13ygab1
At5g07840	QHM4P23ygab1
At5g08290	32535737
At5g08370	QHE27G18ygab1
At5g08650	32541316
At5g08740	QHB23B20ygab1
At5g09310	32535193
At5g09570	32538691
At5g09600	32532407
At5g09790	QHG11J06ygab1
At5g09920	32533766
At5g10450	QHB42E04ygab1
At5g10480	32535388
At5g10490	QHB7L05ygab1
At5g10780	32532726
At5g11260	32531919
At5g11500	QHF5M24ygab1
At5g11680	QHI19K13ygab1
At5g11730	QHG1a08ygab1
At5g11770	32535013
At5g11950	32532262
At5g12010	QHG13O11ygab1
At5g12020	QHI19M16ygab1
At5g12040	32538644
At5g12190	32532395
At5g12860	QHB39J06ygab1
At5g13440	QHB30E03ygab1
At5g13640	QHB27F18ygab1
At5g13860	QHA19A01ygab1
At5g13930	QHB32M04ygab1
At5g14050	QHG8A22ygab1
At5g14105	32534917
At5g14130	QHF9K10ygab1
At5g14220	32537933
At5g14250	QHK18A24ygab1
At5g14320	QHF6P21ygab1
At5g14700	QHE15N10ygab1
At5g14910	32531803
At5g15290	QHE29J08ygab1
At5g15550	QHE17F04ygab1
At5g15610	QHJ21F08ygab1
At5g15750	32534912
At5g15780	QHB21A23ygab1
At5g16110	QHL13B22ygab1
At5g16250	32533381
At5g16270	32533888
At5g16400	32530789
At5g16550	QHA17I14ygab1
At5g17170	QHF4d06ygab1
At5g17190	32536228
At5g17330	QHG3f12ygab1
At5g17560	QHK8B11ygab1
At5g17840	32530581
At5g17920	QHF9L19ygab1
At5g18170	QHG6F14ygab1
At5g18700	32533211
At5g19120	QHB39P20ygab1
At5g19140	QHG17O12ygab1
At5g19280	QHF9F15ygab1
At5g19440	15005782
At5g19620	QHG13J14ygab1
At5g19780	QHF7F08ygab1
At5g19860	QHI6E10ygab1
At5g19900	QHJ4K10ygab1
At5g20070	QHJ19D22ygab1
At5g20090	32532470
At5g20130	QHK16E07ygab1
At5g20170	QHN19N05ygab1
At5g20680	QHK17F24ygab1
At5g21430	23401402
At5g21920	32531775
At5g22300	32541569
At5g22360	QHB12A10ygab1
At5g22580	32532237
At5g22790	QHB12O13ygab1
At5g23120	QHG17B23ygab1
At5g23250	QHB34G19ygab1
At5g23530	QHN17O15ygab1
At5g23720	QHJ8I06ygab1
At5g24490	32530446
At5g24500	QHI5I23ygab1
At5g24710	QHB12B06ygab1
At5g24800	QHE19B24ygab1
At5g24930	32531166
At5g25080	32539658
At5g25250	QHF3d03ygab1
At5g25360	QHG17J07ygab1
At5g25757	32536318
At5g25760	QHL12C21ygab1
At5g25770	32538585
At5g26240	QHB31D01ygab1
At5g26360	32537082
At5g26667	32535190
At5g26710	QHH1f03ygab1
At5g26880	QHK5H15ygab1
At5g27490	QHA12B10ygab1
At5g27670	32535514
At5g27850	32538935
At5g28750	32538475
At5g32426	28371465
At5g32450	QHI2F08ygab1
At5g35830	QHB17A20ygab1
At5g36110	QHG10K21ygab1
At5g36140	QHB26P13ygab1
At5g37380	QHB20E15ygab1
At5g37600	QHF12B09ygab1
At5g38880	QHF12K14ygab1
At5g39850	QHB22D02ygab1
At5g40010	QHB10D19ygab1
At5g40300	QHM17H19ygab1
At5g40370	32532707
At5g40810	QHK10O23ygab1
At5g41685	32536636
At5g42070	QHM21B23ygab1
At5g42570	32537869
At5g42800	QHG17A24ygab1
At5g42850	32532235
At5g42890	32533641
At5g42960	32534405
At5g43260	QHE29K16ygab1
At5g43810	32536451
At5g43850	QHM14B19ygab1
At5g44650	32532568
At5g45380	QHB20J17ygab1
At5g45410	QHE4h05ygab1
At5g45775	32537407
At5g46030	32532738
At5g46110	QHF10A16ygab1
At5g46390	QHJ5E17ygab1
At5g46700	15005895
At5g47030	QHG14M12ygab1
At5g47040	32541477
At5g47050	QHE11N15ygab1
At5g47120	QHF10M17ygab1
At5g47240	QHL17L21ygab1
At5g47570	28371087
At5g47910	QHB33O13ygab1
At5g48300	32533809
