At1g01050	carttinccsa1-595
At2g27470	carttinc-EL373872
At2g27600	carttinc-EL389488
At2g27810	carttinc-EL402413
At2g27960	carttinc-EL412235
At2g28900	carttinc-EL405404
At2g28950	carttinc-EL404678
At2g30200	carttinccsa1-6382
At2g30410	carttinccsa1-4697
At2g31040	carttinccsa1-6990
At2g31490	carttinccsa1-20
At2g31570	carttinccsa1-1661
At2g31610	carttinccsa1-1097
At2g31670	carttinccsa1-1463
At2g32520	carttinccsa1-711
At2g32950	carttinccsa1-3770
At2g33220	carttinc-EL409115
At2g33450	carttinccsa1-2294
At2g33800	carttinc-EL401536
At2g35120	carttinccsa1-6432
At2g35760	carttinccsa1-1660
At2g37340	carttinccsa1-618
At2g38040	carttinccsa1-5891
At2g38730	carttinccsa1-469
At2g39450	carttinccsa1-5408
At2g39770	carttinccsa1-3815
At2g39780	carttinc-EL410866
At2g39960	carttinccsa1-2550
At2g40620	carttinccsa1-811
At2g41490	carttinccsa1-6658
At2g41690	carttinc-EL381188
At2g42490	carttinccsa1-4194
At2g42570	carttinccsa1-1552
At2g43030	carttinc-EL403014
At2g43070	carttinc-EL396833
At2g43080	carttinccsa1-1604
At2g44060	carttinccsa1-2340
At2g45030	carttinc-EL409414
At2g45490	carttinc-EL411460
At2g45640	carttinccsa1-1535
At2g45740	carttinccsa1-1626
At2g46420	carttinc-EL379852
At2g47110	carttinccsa1-173
At2g47690	carttinccsa1-1023
At2g47900	carttinc-EL405103
At3g01980	carttinccsa1-6325
At3g02360	carttinccsa1-6002
At3g02450	carttinccsa1-793
At3g02540	carttinccsa1-6783
At3g02560	carttinccsa1-2616
At3g03100	carttinccsa1-291
At3g03310	carttinc-EL510293
At3g04400	carttinc-EL372584
At3g04920	carttinc-EL406234
At3g05070	carttinccsa1-2303
At3g05230	carttinccsa1-528
At3g05290	carttinccsa1-1426
At3g05580	carttinccsa1-6897
At3g06580	carttinccsa1-4845
At3g06610	carttinccsa1-1852
At3g06720	carttinccsa1-6248
At3g07090	carttinc-EL401172
At3g07470	carttinccsa1-1723
At3g07510	carttinccsa1-3179
At3g07680	carttinccsa1-1283
At3g08590	carttinccsa1-139
At3g08710	carttinc-EL409090
At3g09200	carttinccsa1-5482
At3g09630	carttinccsa1-6253
At3g09740	carttinccsa1-5230
At3g10210	carttinccsa1-2168
At3g10330	carttinccsa1-663
At3g10850	carttinccsa1-6220
At3g10920	carttinccsa1-681
At3g10950	carttinccsa1-2685
At3g11650	carttinccsa1-1803
At3g11730	carttinccsa1-4747
At3g11940	carttinccsa1-1802
At3g12180	carttinc-EL406133
At3g12620	carttinc-EL407797
At3g13120	carttinc-EL400605
At3g13200	carttinc-EL407969
At3g13530	carttinc-EL383592
At3g13580	carttinccsa1-1551
At3g13772	carttinccsa1-2258
At3g15640	carttinccsa1-4745
At3g16090	carttinccsa1-2981
At3g16480	carttinccsa1-128
At3g17210	carttinccsa1-68
At3g17980	carttinccsa1-1776
At3g18080	carttinccsa1-6274
At3g18760	carttinc-EL401009
At3g19450	carttinccsa1-2284
At3g19900	carttinccsa1-5685
At3g19910	carttinccsa1-4513
At3g20250	carttinc-EL404164
At3g21360	carttinc-EL410000
At3g22110	carttinccsa1-410
At3g22480	carttinc-EL407830
At3g23400	carttinccsa1-1951
At3g24010	carttinc-EL409986
At3g24730	carttinccsa1-4045
At3g25400	carttinccsa1-1458
At3g25540	carttinccsa1-1029
At3g25830	carttinccsa1-2859
At3g26060	carttinccsa1-2386
At3g26070	carttinc-EL409019
At3g26340	carttinccsa1-118
At3g26560	carttinc-EL386738
At3g26618	carttinccsa1-6343
At3g27030	carttinc-EL383296
At3g27060	carttinc-EL409032
At3g28007	carttinccsa1-875
At3g28720	carttinc-EL377244
At3g29270	carttinccsa1-1966
At3g46450	carttinccsa1-5501
At3g46560	carttinc-EL411470
At3g46630	carttinc-EL399222
At3g47370	carttinc-EL399534
At3g47810	carttinccsa1-928
At3g48030	carttinccsa1-2088
At3g48680	carttinccsa1-834
At3g48870	carttinc-EL397089
At3g49010	carttinccsa1-3200
At3g49550	carttinc-EL377727
At3g49660	carttinccsa1-1895
At3g49990	carttinccsa1-1717
At3g50690	carttinc-EL400189
At3g51800	carttinccsa1-435
At3g51890	carttinccsa1-3253
At3g51950	carttinc-EL390249
At3g52140	carttinc-EL377021
At3g52300	carttinccsa1-1918
At3g52990	carttinccsa1-3640
At3g53140	carttinccsa1-93
At3g53470	carttinc-EL383268
At3g54190	carttinccsa1-6383
At3g54360	carttinc-EL383984
At3g54470	carttinccsa1-5139
At3g54900	carttinccsa1-1497
At3g55440	carttinccsa1-2392
At3g55640	carttinc-EL391000
At3g56190	carttinccsa1-3705
At3g57000	carttinc-EL411412
At3g57090	carttinccsa1-1627
At3g57290	carttinccsa1-3951
At3g57520	carttinccsa1-6934
At3g57810	carttinccsa1-2377
At3g57870	carttinccsa1-2175
At3g58610	carttinc-EL398969
At3g58750	carttinccsa1-5286
At3g59540	carttinccsa1-10
At3g60240	carttinccsa1-3265
At3g60600	carttinccsa1-1403
At3g61110	carttinc-EL400750
At3g61460	carttinc-EL411853
At3g61600	carttinccsa1-6417
At3g61620	carttinccsa1-7138
At3g63120	carttinccsa1-1662
At3g63490	carttinccsa1-3655
At4g00585	carttinc-EL401749
At4g01100	carttinccsa1-6000
At4g01710	carttinc-EL406483
At4g02360	carttinc-EL412346
At4g02980	carttinc-EL399839
At4g03100	carttinccsa1-7081
At4g04210	carttinccsa1-1237
At4g06634	carttinc-EL375891
At4g09800	carttinccsa1-1514
At4g11420	carttinccsa1-3715
At4g11650	carttinc-EL403847
At4g12790	carttinccsa1-3405
At4g12800	carttinc-EL403088
At4g13040	carttinc-EL399051
At4g13430	carttinccsa1-4039
At4g14110	carttinccsa1-210
At4g14320	carttinc-EL403316
At4g14342	carttinccsa1-865
At4g14360	carttinccsa1-5380
At4g14710	carttinccsa1-501
At4g14880	carttinccsa1-1607
At4g15130	carttinccsa1-2074
At4g15770	carttinccsa1-1358
At4g16210	carttinccsa1-574
At4g16520	carttinccsa1-632
At4g16720	carttinccsa1-402
At4g17600	carttinccsa1-1127
At4g17790	carttinccsa1-2517
At4g18100	carttinccsa1-1251
At4g20260	carttinccsa1-766
At4g20360	carttinccsa1-3516
At4g21110	carttinccsa1-7137
At4g22300	carttinccsa1-4613
At4g22740	carttinc-EL385276
At4g22840	carttinccsa1-2707
At4g22930	carttinc-EL391295
At4g23000	carttinccsa1-2893
At4g23980	carttinccsa1-3269
At4g25370	carttinccsa1-1048
At4g25700	carttinc-EL409507
At4g26100	carttinccsa1-3759
At4g26300	carttinccsa1-6661
At4g26700	carttinc-EL394183
At4g26850	carttinccsa1-2628
At4g27500	carttinc-EL388738
At4g27650	carttinccsa1-2311
At4g27700	carttinc-EL402189
At4g29430	carttinccsa1-659
At4g29510	carttinc-EL375301
At4g30010	carttinccsa1-1400
At4g30060	carttinc-EL402137
At4g30490	carttinccsa1-4921
At4g31930	carttinccsa1-5867
At4g32480	carttinccsa1-2049
At4g32770	carttinccsa1-5988
At4g33250	carttinccsa1-2153
At4g33430	carttinccsa1-5858
At4g33670	carttinc-EL385932
At4g33865	carttinccsa1-1941
At4g34460	carttinccsa1-1783
At4g34670	carttinccsa1-271
At4g34700	carttinc-EL401896
At4g34710	carttinc-EL391256
At4g35250	carttinccsa1-6202
At4g36220	carttinc-EL401247
At4g37830	carttinccsa1-2014
At4g37900	carttinc-EL386707
At4g38510	carttinccsa1-2966
At4g39230	carttinccsa1-569
At5g01270	carttinccsa1-5618
At5g01530	carttinccsa1-994
At5g01650	carttinccsa1-6244
At5g02280	carttinccsa1-1663
At5g02960	carttinc-EL511024
At5g03300	carttinccsa1-3021
At5g05920	carttinccsa1-5601
At5g08290	carttinc-EL390885
At5g08370	carttinccsa1-2062
At5g08740	carttinccsa1-7025
At5g09570	carttinccsa1-186
At5g09920	carttinccsa1-1678
At5g10450	carttinccsa1-3579
At5g10480	carttinccsa1-1401
At5g10780	carttinccsa1-2420
At5g11500	carttinccsa1-2274
At5g11680	carttinccsa1-1302
At5g11950	carttinc-EL387806
At5g12040	carttinccsa1-4516
At5g12190	carttinc-EL402905
At5g13440	carttinccsa1-938
At5g13930	carttinccsa1-3195
At5g14105	carttinc-EL410062
At5g14220	carttinccsa1-5388
At5g14910	carttinc-EL405910
At5g15290	carttinc-EL407203
At5g15610	carttinccsa1-4210
At5g15750	carttinccsa1-411
At5g16400	carttinc-EL382234
At5g16550	carttinccsa1-1706
At5g17330	carttinccsa1-3371
At5g17560	carttinc-EL399200
At5g17840	carttinccsa1-2355
At5g17920	carttinccsa1-6529
At5g18170	carttinccsa1-5897
At5g19140	carttinccsa1-1846
At5g19440	carttinc-EL405676
At5g19780	carttinccsa1-6730
At5g19860	carttinccsa1-2427
At5g20090	carttinc-EL401298
At5g20130	carttinccsa1-1476
At5g21430	carttinc-EL408252
At5g22300	carttinccsa1-1425
At5g22360	carttinc-EL404093
At5g22580	carttinc-EL389226
At5g22790	carttinccsa1-6935
At5g23250	carttinc-EL389865
At5g24490	carttinccsa1-7105
At5g25757	carttinccsa1-5683
At5g25760	carttinccsa1-1574
At5g25770	carttinccsa1-1346
At5g26240	carttinc-EL390783
At5g26667	carttinccsa1-48
At5g27490	carttinc-EL400689
At5g27850	carttinc-EL395026
At5g32450	carttinccsa1-3849
At5g37600	carttinccsa1-5999
At5g39850	carttinccsa1-1849
At5g40810	carttinccsa1-6757
At5g41685	carttinc-EL382596
At5g42850	carttinc-EL407481
At5g42890	carttinc-EL408244
At5g42960	carttinccsa1-1716
At5g45410	carttinccsa1-3987
At5g45775	carttinccsa1-176
At5g46030	carttinc-EL410927
At5g46390	carttinccsa1-5418
At5g47030	carttinc-EL409659
At5g47040	carttinccsa1-4634
At5g47120	carttinccsa1-1485
At5g49720	carttinc-EL387875
At5g50460	carttinccsa1-1086
At5g51070	carttinc-EL404110
At5g51110	carttinc-EL412225
At5g52060	carttinccsa1-2936
At5g52520	carttinc-EL382743
At5g53490	carttinc-EL410915
At5g54750	carttinccsa1-2090
At5g55260	carttinccsa1-2416
At5g55760	carttinccsa1-799
At5g56130	carttinccsa1-1641
At5g56290	carttinccsa1-1339
At5g56670	carttinccsa1-657
At5g56710	carttinccsa1-4885
At5g57330	carttinc-EL410627
At5g57850	carttinccsa1-1419
At5g58020	carttinccsa1-4569
At5g58030	carttinccsa1-868
At5g58110	carttinccsa1-1309
At5g58560	carttinccsa1-474
At5g59180	carttinccsa1-3064
At5g59240	carttinccsa1-347
At5g59420	carttinccsa1-5733
At5g59610	carttinc-EL407365
At5g59613	carttinc-EL375538
At5g59970	carttinc-EL398759
At5g60670	carttinc-EL402034
At5g61410	carttinccsa1-532
At5g61510	carttinccsa1-5374
At5g61530	carttinccsa1-4423
At5g62670	carttinc-EL389856
At5g62680	carttinccsa1-5816
At5g62740	carttinccsa1-165
At5g63310	carttinccsa1-2212
At5g64040	carttinc-EL401521
At5g64370	carttinccsa1-1441
At5g65270	carttinc-EL405764
At5g65380	carttinccsa1-6915
At5g65620	carttinc-EL381774
At5g65980	carttinccsa1-5724
At5g67380	carttinccsa1-6141
